grupo;total_vinculos_defic;total_vinculos_validos;participacao_pct;media_salarial_com_defic;media_salarial_sem_defic
Total de trabalhadores;761673;60688704;0.012550490450413967;4472.5;4070.35
Economia Criativa;27878;1942497;0.014351630916289703;5314.39;5090.17
