localidade;ano;participacao_ec
Acre;2024;0,018173245210942306
Alagoas;2024;0,023336852598734536
Amapá;2024;0,01847386811219982
Amazonas;2024;0,03786943609560613
Bahia;2024;0,023631300615691183
Ceará;2024;0,030635762346103806
Distrito Federal;2024;0,03758635518959674
Espírito Santo;2024;0,024205325105094933
Goiás;2024;0,027465297289761288
Maranhão;2024;0,020319482118261834
Mato Grosso;2024;0,023444265382084255
Mato Grosso do Sul;2024;0,028869231990486657
Minas Gerais;2024;0,027299040536456532
Paraná;2024;0,03341331825337389
Paraíba;2024;0,024542004322649715
Pará;2024;0,024106538518684162
Pernambuco;2024;0,03246551347513529
Piauí;2024;0,01985354738611946
Rio Grande do Norte;2024;0,021577030491613684
Rio Grande do Sul;2024;0,03895664051638166
Rio de Janeiro;2024;0,04216975336193362
Rondônia;2024;0,024333459873114686
Roraima;2024;0,03334280179113433
Santa Catarina;2024;0,04283487524892499
Sergipe;2024;0,02605591505781976
São Paulo;2024;0,04874771072519269
Tocantins;2024;0,02215625612758448
